,Keys,Keys Embedding,Values
0,Lauren_doctor,"[ 0.02272247  0.03749488 -0.0141924  ... -0.02433016  0.00256265
 -0.01029206]",Dr. Wilson
1,Lauren_appointment_date,"[-0.04450312  0.02892499 -0.00905474 ...  0.01381192  0.02612048
  0.01249637]",2026-03-27
2,Lauren_checkup_department,"[ 0.01932932 -0.02087937 -0.01367982 ... -0.00346277 -0.00513759
 -0.00407159]",Psychiatry
3,Lauren_hospital_location,"[ 0.00784208  0.03422493 -0.0110024  ... -0.02626081  0.00487803
 -0.0027201 ]",City Hospital
4,Lauren_contact,"[ 0.00166302  0.02866468 -0.01420437 ... -0.02492237  0.03465147
 -0.00492068]",(557)935-7463x543
5,Lauren_appointment_time,"[-0.04621132  0.00872036 -0.01120309 ...  0.00774897  0.0202783
  0.0066942 ]",16:25
6,Amber_doctor,"[-0.0248438   0.04308764 -0.01504096 ... -0.00853385 -0.01560559
  0.00820771]",Dr. Wilson
7,Amber_appointment_date,"[-0.05821269  0.01164905 -0.00934066 ...  0.00939335  0.01310597
  0.01551187]",2025-10-11
8,Amber_checkup_department,"[-0.03100682 -0.03078747 -0.01469999 ...  0.0088944  -0.01229251
  0.00785232]",Orthopedics
9,Amber_hospital_location,"[-0.02750762  0.02542803 -0.0135576  ... -0.00542389 -0.01245606
  0.01345445]",City Hospital
10,Amber_contact,"[-0.04305328  0.016642   -0.01558967 ... -0.01207412  0.00667312
  0.02005914]",+1-502-840-1548x530
11,Amber_appointment_time,"[-0.06173343 -0.00245118 -0.01145421 ...  0.00681631  0.00621063
  0.01376848]",12:51
12,Savannah_doctor,"[ 0.02803598 -0.00502535 -0.01538568 ... -0.00958228 -0.02231734
 -0.02067358]",Dr. Anderson
13,Savannah_appointment_date,"[-0.02012578 -0.01063456 -0.00992197 ...  0.01929732 -0.00234066
  0.00298683]",2026-05-28
14,Savannah_checkup_department,"[ 0.02511824 -0.03838734 -0.01408885 ...  0.01311909 -0.01726387
 -0.01057678]",Pediatrics
15,Savannah_hospital_location,"[ 0.03795784 -0.0067525  -0.01235246 ... -0.00988965 -0.01109163
 -0.02248263]",Mountain View Hospital
16,Savannah_contact,"[ 0.02154312 -0.02171473 -0.01529033 ... -0.00149932  0.00862319
 -0.01190876]",340.929.8569x91127
17,Savannah_appointment_time,"[-0.01360647 -0.01771401 -0.01143371 ...  0.0173389  -0.01044401
 -0.00314009]",01:55
18,April_doctor,"[-0.03281366  0.02633032 -0.01406177 ...  0.01247047 -0.00552544
  0.01128361]",Dr. Smith
19,April_appointment_date,"[-0.05467612  0.00280726 -0.00848698 ...  0.01691696  0.00253221
  0.02082651]",2026-04-11
20,April_checkup_department,"[-0.04104744 -0.00851916 -0.01389261 ...  0.02074937 -0.00870725
 -0.00960327]",Dentist
21,April_hospital_location,"[-0.03096145  0.04815043 -0.0115532  ...  0.00662948 -0.01736498
  0.00128712]",City Hospital
22,April_contact,"[-0.03004148  0.02996994 -0.01359396 ...  0.00641071 -0.00954452
  0.01092398]",001-328-824-4066x8146
23,April_appointment_time,"[-0.06351557 -0.00291997 -0.01019311 ...  0.01271641 -0.00210217
  0.01878372]",18:01
